id,person,recommended_recipes,healthiness,created
152,79,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-12 10:35:21.916863+00:00
151,79,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-12 10:35:21.913835+00:00
150,78,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 15:06:28.851175+00:00
149,78,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 15:06:28.847825+00:00
148,76,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 15:02:39.743581+00:00
147,76,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 15:02:39.740242+00:00
146,77,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 15:02:27.381411+00:00
145,77,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 15:02:27.375018+00:00
144,75,"[5569, 5133, 6225, 4416, 4376]",Unhealthy,2024-12-11 13:59:43.246297+00:00
143,75,"[2282, 2871, 2803, 2210, 1807]",Healthy,2024-12-11 13:59:43.242477+00:00
142,73,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 13:58:47.579775+00:00
141,73,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 13:58:47.576578+00:00
140,70,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 13:55:38.737329+00:00
139,70,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 13:55:38.734079+00:00
138,72,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 13:52:16.665166+00:00
137,72,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 13:52:16.662244+00:00
136,71,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 13:51:38.592610+00:00
135,71,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 13:51:38.589488+00:00
134,69,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 13:50:35.417859+00:00
133,69,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 13:50:35.409550+00:00
132,65,"[5569, 3735, 4376, 6225, 6507]",Unhealthy,2024-12-11 13:49:56.193009+00:00
131,65,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 13:49:56.188788+00:00
130,58,"[5569, 5133, 6225, 4416, 4376]",Unhealthy,2024-12-11 13:49:45.559726+00:00
129,58,"[2282, 2871, 2803, 2210, 1807]",Healthy,2024-12-11 13:49:45.555822+00:00
128,68,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 13:49:43.212908+00:00
127,68,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 13:49:43.207934+00:00
126,67,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 13:49:42.391555+00:00
125,67,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 13:49:42.387348+00:00
124,62,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 13:49:29.284441+00:00
123,62,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 13:49:29.282025+00:00
122,60,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 13:49:26.128804+00:00
121,60,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 13:49:26.125611+00:00
120,66,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 13:49:20.552105+00:00
119,66,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 13:49:20.549572+00:00
118,63,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-11 13:49:16.970648+00:00
117,63,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-11 13:49:16.968465+00:00
116,61,"[3514, 5474, 3489, 5935, 5152]",Unhealthy,2024-12-11 13:48:53.186593+00:00
115,61,"[561, 1380, 494, 1151, 107]",Healthy,2024-12-11 13:48:53.179314+00:00
114,59,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 13:48:52.605702+00:00
113,59,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 13:48:52.603080+00:00
112,64,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 13:48:35.954080+00:00
111,64,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 13:48:35.950424+00:00
110,57,"[3735, 3489, 5152, 5227, 3834]",Unhealthy,2024-12-11 13:48:35.382284+00:00
109,57,"[561, 107, 494, 2265, 1380]",Healthy,2024-12-11 13:48:35.379660+00:00
108,56,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 13:48:29.942421+00:00
107,56,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 13:48:29.939730+00:00
106,54,"[3514, 5474, 3489, 5935, 5152]",Unhealthy,2024-12-11 13:47:41.325711+00:00
105,54,"[561, 1380, 494, 1151, 107]",Healthy,2024-12-11 13:47:41.323087+00:00
104,55,"[5569, 3735, 4376, 6225, 6507]",Unhealthy,2024-12-11 13:47:35.360071+00:00
103,55,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 13:47:35.357397+00:00
102,53,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 11:03:28.166581+00:00
101,53,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 11:03:28.163669+00:00
100,52,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 10:35:18.261707+00:00
99,52,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 10:35:18.259218+00:00
98,50,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:34:50.220608+00:00
97,50,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:34:50.218303+00:00
96,51,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 10:32:50.149279+00:00
95,51,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 10:32:50.146918+00:00
94,49,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:30:53.027800+00:00
93,49,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:30:53.025262+00:00
92,48,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 10:29:32.169603+00:00
91,48,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 10:29:32.166753+00:00
90,47,"[3735, 3489, 4761, 4205, 5227]",Unhealthy,2024-12-11 10:27:15.550493+00:00
89,47,"[561, 446, 107, 494, 236]",Healthy,2024-12-11 10:27:15.547682+00:00
88,46,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 10:25:51.889344+00:00
87,46,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 10:25:51.886285+00:00
86,42,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 10:16:51.928314+00:00
85,42,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 10:16:51.924502+00:00
84,43,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 10:14:44.500382+00:00
83,43,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 10:14:44.496934+00:00
82,45,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 10:13:53.468136+00:00
81,45,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 10:13:53.464840+00:00
80,44,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 10:12:42.790750+00:00
79,44,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 10:12:42.787449+00:00
78,39,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:09:10.856354+00:00
77,39,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:09:10.853044+00:00
76,41,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 10:08:56.435589+00:00
75,41,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 10:08:56.432240+00:00
74,38,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:08:54.938308+00:00
73,38,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:08:54.934616+00:00
72,36,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-11 10:08:51.702799+00:00
71,36,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-11 10:08:51.699517+00:00
70,40,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:08:20.424084+00:00
69,40,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:08:20.420415+00:00
68,31,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-11 10:08:12.702795+00:00
67,31,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-11 10:08:12.699743+00:00
66,32,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:07:57.456744+00:00
65,32,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:07:57.453511+00:00
64,30,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 10:07:45.188454+00:00
63,30,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 10:07:45.184837+00:00
62,35,"[3514, 5474, 3489, 5935, 5152]",Unhealthy,2024-12-11 10:07:43.230363+00:00
61,35,"[561, 1380, 494, 1151, 107]",Healthy,2024-12-11 10:07:43.227027+00:00
60,34,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:07:38.898091+00:00
59,34,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:07:38.895275+00:00
58,33,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-11 10:07:33.311917+00:00
57,33,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-11 10:07:33.308438+00:00
56,28,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 10:07:16.790601+00:00
55,28,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 10:07:16.787599+00:00
54,29,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-11 10:07:12.663036+00:00
53,29,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-11 10:07:12.660277+00:00
52,37,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:07:12.076961+00:00
51,37,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:07:12.074023+00:00
50,26,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 10:07:04.748295+00:00
49,26,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 10:07:04.745643+00:00
48,27,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 10:06:43.345887+00:00
47,27,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 10:06:43.343266+00:00
46,18,"[5644, 3514, 4030, 4011, 6454]",Unhealthy,2024-12-11 09:49:47.893625+00:00
45,18,"[1005, 39, 482, 2751, 0]",Healthy,2024-12-11 09:49:47.890749+00:00
44,25,"[3514, 5474, 3489, 5935, 5152]",Unhealthy,2024-12-11 09:49:16.177867+00:00
43,25,"[561, 1380, 494, 1151, 107]",Healthy,2024-12-11 09:49:16.175056+00:00
42,22,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 09:48:17.576385+00:00
41,22,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 09:48:17.573574+00:00
40,20,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:47:04.024647+00:00
39,20,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:47:04.019889+00:00
38,24,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:47:01.157531+00:00
37,24,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:47:01.154796+00:00
36,23,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 09:46:55.391879+00:00
35,23,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 09:46:55.389001+00:00
34,19,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:46:25.074713+00:00
33,19,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:46:25.068357+00:00
32,17,"[5474, 3489, 6345, 4924, 6563]",Unhealthy,2024-12-11 09:46:19.214828+00:00
31,17,"[1005, 561, 2329, 236, 1055]",Healthy,2024-12-11 09:46:19.212079+00:00
30,21,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-11 09:45:48.947853+00:00
29,21,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-11 09:45:48.945316+00:00
28,12,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:45:18.311048+00:00
27,12,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:45:18.308628+00:00
26,15,"[4416, 3649, 5133, 3561, 3573]",Unhealthy,2024-12-11 09:44:01.875271+00:00
25,15,"[2210, 2069, 3084, 2483, 2871]",Healthy,2024-12-11 09:44:01.872716+00:00
24,11,"[3649, 5133, 4416, 5139, 3992]",Unhealthy,2024-12-11 09:43:16.757935+00:00
23,11,"[1716, 2282, 2871, 2746, 2955]",Healthy,2024-12-11 09:43:16.754351+00:00
22,13,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 09:43:16.212516+00:00
21,13,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 09:43:16.206352+00:00
20,10,"[3992, 4107, 3649, 4565, 4516]",Unhealthy,2024-12-11 09:43:04.369739+00:00
19,10,"[2955, 2106, 2746, 200, 1716]",Healthy,2024-12-11 09:43:04.362721+00:00
18,14,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 09:43:02.108690+00:00
17,14,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 09:43:02.105940+00:00
16,9,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:42:40.225128+00:00
15,9,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:42:40.222342+00:00
14,8,"[3489, 5227, 4051, 4044, 5876]",Unhealthy,2024-12-11 09:35:45.433584+00:00
13,8,"[561, 1828, 3003, 433, 236]",Healthy,2024-12-11 09:35:45.431138+00:00
12,6,"[5474, 6203, 5364, 5133, 6563]",Unhealthy,2024-12-11 09:29:48.244302+00:00
11,6,"[2803, 2106, 2955, 200, 2746]",Healthy,2024-12-11 09:29:48.241575+00:00
10,4,"[3489, 4761, 3735, 6616, 5687]",Unhealthy,2024-12-11 09:29:00.485041+00:00
9,4,"[561, 3092, 494, 446, 236]",Healthy,2024-12-11 09:29:00.480846+00:00
8,5,"[3735, 6225, 4376, 5569, 5837]",Unhealthy,2024-12-11 09:28:15.073030+00:00
7,5,"[2282, 2803, 446, 2075, 1807]",Healthy,2024-12-11 09:28:15.070336+00:00
6,3,"[3735, 6225, 5569, 4376, 5989]",Unhealthy,2024-12-11 09:25:13.705940+00:00
5,3,"[2803, 2282, 936, 446, 1807]",Healthy,2024-12-11 09:25:13.703274+00:00
